,trial_number,value,params,datetime_start,datetime_complete,f1,accuracy,roc,recall,precision
0,0,0.5669948630136987,"{'lgb_idx': 0, 'xgb_idx': 110, 'nn_idx': 88, 'lgb_weight': 0.5332199730287885, 'xgb_weight': 0.23289552128789798, 'nn_weight': 0.7116308625472124}",2024-08-04 06:32:49.209840,2024-08-04 06:33:16.366996,0.5753424657534247,0.7796208530805687,0.8223286290322581,0.5625,0.5887850467289719
1,1,0.6130464901477833,"{'lgb_idx': 107, 'xgb_idx': 71, 'nn_idx': 36, 'lgb_weight': 0.5981979394548087, 'xgb_weight': 0.26887916759620445, 'nn_weight': 0.2071033650295389}",2024-08-04 06:33:16.367433,2024-08-04 06:33:37.274813,0.5991379310344829,0.7796208530805687,0.8271529377880186,0.6205357142857143,0.5791666666666667
2,2,0.6130464901477833,"{'lgb_idx': 8, 'xgb_idx': 116, 'nn_idx': 64, 'lgb_weight': 0.16531356682391143, 'xgb_weight': 0.6774485382412385, 'nn_weight': 0.10455624220682518}",2024-08-04 06:33:37.275461,2024-08-04 06:33:49.657917,0.5991379310344829,0.7796208530805687,0.8328629032258065,0.6205357142857143,0.5791666666666667
3,3,0.5989779135338346,"{'lgb_idx': 93, 'xgb_idx': 5, 'nn_idx': 52, 'lgb_weight': 0.9269023010387173, 'xgb_weight': 0.1648414968436812, 'nn_weight': 0.2999706025161527}",2024-08-04 06:33:49.658414,2024-08-04 06:34:19.463390,0.5921052631578947,0.7796208530805687,0.8349654377880185,0.6026785714285714,0.5818965517241379
4,4,0.6086360837438424,"{'lgb_idx': 65, 'xgb_idx': 68, 'nn_idx': 50, 'lgb_weight': 0.21419661112877092, 'xgb_weight': 0.49961143391066354, 'nn_weight': 0.5418312149876436}",2024-08-04 06:34:19.463747,2024-08-04 06:34:38.942297,0.5948275862068966,0.7772511848341233,0.8295074884792626,0.6160714285714286,0.575
5,5,0.6052623261694058,"{'lgb_idx': 3, 'xgb_idx': 48, 'nn_idx': 77, 'lgb_weight': 0.916572248109562, 'xgb_weight': 0.47127598775156765, 'nn_weight': 0.35191645816756045}",2024-08-04 06:34:38.942843,2024-08-04 06:35:19.841001,0.6017699115044247,0.7867298578199052,0.8334029377880184,0.6071428571428571,0.5964912280701754
6,6,0.6272050865800866,"{'lgb_idx': 53, 'xgb_idx': 42, 'nn_idx': 7, 'lgb_weight': 0.7440556943532032, 'xgb_weight': 0.37800017748434456, 'nn_weight': 0.16565426364408603}",2024-08-04 06:35:19.841449,2024-08-04 06:35:39.012333,0.6147186147186147,0.7890995260663507,0.8311923963133642,0.6339285714285714,0.5966386554621849
7,7,0.6130464901477833,"{'lgb_idx': 55, 'xgb_idx': 68, 'nn_idx': 13, 'lgb_weight': 0.7404989329978606, 'xgb_weight': 0.6145493769289867, 'nn_weight': 0.5987762007351624}",2024-08-04 06:35:39.012905,2024-08-04 06:35:55.552957,0.5991379310344829,0.7796208530805687,0.8342237903225806,0.6205357142857143,0.5791666666666667
8,8,0.5888263601654471,"{'lgb_idx': 75, 'xgb_idx': 106, 'nn_idx': 45, 'lgb_weight': 0.3630319603709299, 'xgb_weight': 0.8312250122071133, 'nn_weight': 0.4863772224591675}",2024-08-04 06:35:55.553608,2024-08-04 06:36:14.577925,0.5879732739420936,0.7808056872037915,0.83224366359447,0.5892857142857143,0.5866666666666667
9,9,0.6099908971180663,"{'lgb_idx': 107, 'xgb_idx': 98, 'nn_idx': 67, 'lgb_weight': 0.8305968821934354, 'xgb_weight': 0.3898786964474552, 'nn_weight': 0.5226281057045431}",2024-08-04 06:36:14.578510,2024-08-04 06:36:27.237440,0.5986984815618221,0.7808056872037915,0.8255616359447004,0.6160714285714286,0.5822784810126582
10,10,0.5994393796992482,"{'lgb_idx': 36, 'xgb_idx': 25, 'nn_idx': 1, 'lgb_weight': 0.6461611400139844, 'xgb_weight': 0.9177158605749287, 'nn_weight': 0.9888250472500604}",2024-08-04 06:36:27.237967,2024-08-04 06:36:46.363469,0.5768421052631579,0.7618483412322274,0.8293202764976959,0.6116071428571429,0.545816733067729
11,11,0.6134994021906819,"{'lgb_idx': 116, 'xgb_idx': 46, 'nn_idx': 28, 'lgb_weight': 0.5212262046472059, 'xgb_weight': 0.3137540701976495, 'nn_weight': 0.13450086567806036}",2024-08-04 06:36:46.364001,2024-08-04 06:37:05.117124,0.6004319654427646,0.7808056872037915,0.8307747695852535,0.6205357142857143,0.5815899581589958
12,12,0.6051204004329005,"{'lgb_idx': 42, 'xgb_idx': 36, 'nn_idx': 22, 'lgb_weight': 0.46218461448146875, 'xgb_weight': 0.33604721400551796, 'nn_weight': 0.15067472339976912}",2024-08-04 06:37:05.117691,2024-08-04 06:37:24.697776,0.593073593073593,0.7772511848341233,0.8341805875576038,0.6116071428571429,0.5756302521008403
13,13,0.5883690476190476,"{'lgb_idx': 90, 'xgb_idx': 17, 'nn_idx': 24, 'lgb_weight': 0.7201527193393822, 'xgb_weight': 0.1298198583693425, 'nn_weight': 0.30013211904179954}",2024-08-04 06:37:24.698314,2024-08-04 06:37:55.753275,0.5866666666666667,0.7796208530805687,0.831264400921659,0.5892857142857143,0.584070796460177
14,14,0.519456053698075,"{'lgb_idx': 33, 'xgb_idx': 43, 'nn_idx': 3, 'lgb_weight': 0.3782456748478549, 'xgb_weight': 0.37783673427234926, 'nn_weight': 0.38685339295805377}",2024-08-04 06:37:55.753794,2024-08-04 06:38:16.515069,0.5390070921985816,0.768957345971564,0.8214789746543779,0.5089285714285714,0.5728643216080402
15,15,0.6073914699906221,"{'lgb_idx': 76, 'xgb_idx': 85, 'nn_idx': 29, 'lgb_weight': 0.7248640298186126, 'xgb_weight': 0.7325304036005582, 'nn_weight': 0.23609275136346708}",2024-08-04 06:38:16.515656,2024-08-04 06:38:35.796079,0.5995623632385121,0.783175355450237,0.8337989631336405,0.6116071428571429,0.5879828326180258
16,16,0.5954472152297041,"{'lgb_idx': 118, 'xgb_idx': 54, 'nn_idx': 15, 'lgb_weight': 0.48238453516698004, 'xgb_weight': 0.5282546894524116, 'nn_weight': 0.824572862921544}",2024-08-04 06:38:35.796526,2024-08-04 06:38:57.035382,0.5903083700440528,0.7796208530805687,0.8344830069124425,0.5982142857142857,0.5826086956521739
17,17,0.5781678289261528,"{'lgb_idx': 24, 'xgb_idx': 30, 'nn_idx': 11, 'lgb_weight': 0.3518969646065482, 'xgb_weight': 0.2480383841244344, 'nn_weight': 0.4261092366864543}",2024-08-04 06:38:57.035934,2024-08-04 06:39:18.898020,0.582392776523702,0.7808056872037915,0.8282546082949309,0.5758928571428571,0.589041095890411
18,18,0.565997200542925,"{'lgb_idx': 54, 'xgb_idx': 17, 'nn_idx': 37, 'lgb_weight': 0.7868050376055331, 'xgb_weight': 0.43491628296249907, 'nn_weight': 0.10758159651669347}",2024-08-04 06:39:18.898603,2024-08-04 06:39:50.271158,0.5890736342042756,0.7950236966824644,0.8285714285714285,0.5535714285714286,0.6294416243654822
19,19,0.5879137630662021,"{'lgb_idx': 68, 'xgb_idx': 0, 'nn_idx': 98, 'lgb_weight': 0.6416501603783232, 'xgb_weight': 0.3103715010232008, 'nn_weight': 0.2166239426612694}",2024-08-04 06:39:50.271607,2024-08-04 06:40:15.842195,0.5853658536585366,0.7784360189573459,0.8290322580645161,0.5892857142857143,0.5814977973568282
20,20,0.615205223880597,"{'lgb_idx': 90, 'xgb_idx': 85, 'nn_idx': 33, 'lgb_weight': 0.865994548707954, 'xgb_weight': 0.6152534307988651, 'nn_weight': 0.682571965242452}",2024-08-04 06:40:15.842653,2024-08-04 06:40:35.170086,0.5970149253731343,0.7760663507109005,0.8320636520737328,0.625,0.5714285714285714
21,21,0.6265832641196013,"{'lgb_idx': 87, 'xgb_idx': 86, 'nn_idx': 33, 'lgb_weight': 0.8575457371168925, 'xgb_weight': 0.6139641339014328, 'nn_weight': 0.6620272878102464}",2024-08-04 06:40:35.170796,2024-08-04 06:40:54.247339,0.6046511627906976,0.7784360189573459,0.8315164170506912,0.6383928571428571,0.5742971887550201
22,22,0.6337029672682779,"{'lgb_idx': 88, 'xgb_idx': 86, 'nn_idx': 40, 'lgb_weight': 0.9856589904334606, 'xgb_weight': 0.6230871018908548, 'nn_weight': 0.6839785840123007}",2024-08-04 06:40:54.247899,2024-08-04 06:41:05.081042,0.6167023554603855,0.7879146919431279,0.8362471198156682,0.6428571428571429,0.5925925925925926
23,23,0.5998653179626281,"{'lgb_idx': 82, 'xgb_idx': 88, 'nn_idx': 43, 'lgb_weight': 0.9973015918193741, 'xgb_weight': 0.780216711773623, 'nn_weight': 0.8223222619877439}",2024-08-04 06:41:05.081641,2024-08-04 06:41:24.282648,0.5780590717299579,0.7630331753554502,0.8303067396313363,0.6116071428571429,0.548
24,24,0.6033386342734519,"{'lgb_idx': 99, 'xgb_idx': 95, 'nn_idx': 55, 'lgb_weight': 0.9697696248305774, 'xgb_weight': 0.5965691284006298, 'nn_weight': 0.643914172352283}",2024-08-04 06:41:24.283225,2024-08-04 06:41:43.443086,0.5879828326180258,0.7725118483412322,0.828737039170507,0.6116071428571429,0.5661157024793388
25,25,0.6002584078987967,"{'lgb_idx': 47, 'xgb_idx': 78, 'nn_idx': 20, 'lgb_weight': 0.8698169502932973, 'xgb_weight': 0.9992964698602618, 'nn_weight': 0.7779682038882733}",2024-08-04 06:41:43.443675,2024-08-04 06:42:02.979927,0.5874730021598272,0.773696682464455,0.8315596198156683,0.6071428571428571,0.5690376569037657
26,26,0.5945307709993868,"{'lgb_idx': 82, 'xgb_idx': 60, 'nn_idx': 58, 'lgb_weight': 0.8015029072291032, 'xgb_weight': 0.6732015515857597, 'nn_weight': 0.964450084045112}",2024-08-04 06:42:02.980568,2024-08-04 06:42:24.650204,0.5793991416309012,0.7677725118483413,0.8264976958525345,0.6026785714285714,0.5578512396694215
27,27,0.6305153707052442,"{'lgb_idx': 61, 'xgb_idx': 97, 'nn_idx': 41, 'lgb_weight': 0.9340857806977556, 'xgb_weight': 0.5618342535641193, 'nn_weight': 0.76242910191891}",2024-08-04 06:42:24.650743,2024-08-04 06:42:43.841512,0.6075949367088608,0.7796208530805687,0.8337773617511522,0.6428571428571429,0.576
28,28,0.6134381606765328,"{'lgb_idx': 63, 'xgb_idx': 97, 'nn_idx': 42, 'lgb_weight': 0.9415162865388131, 'xgb_weight': 0.4289013575383362, 'nn_weight': 0.9064773393211087}",2024-08-04 06:42:43.842057,2024-08-04 06:43:02.976420,0.5919661733615222,0.7713270142180095,0.8201828917050691,0.625,0.5622489959839357
29,29,0.6015993788819876,"{'lgb_idx': 22, 'xgb_idx': 107, 'nn_idx': 79, 'lgb_weight': 0.9925272885763332, 'xgb_weight': 0.5473323969780736, 'nn_weight': 0.7754060185840066}",2024-08-04 06:43:02.976986,2024-08-04 06:43:25.478373,0.591304347826087,0.7772511848341233,0.8301339285714286,0.6071428571428571,0.576271186440678
30,30,0.5033044467787114,"{'lgb_idx': 49, 'xgb_idx': 119, 'nn_idx': 71, 'lgb_weight': 0.7804540729376879, 'xgb_weight': 0.6856092828395894, 'nn_weight': 0.6196501043076971}",2024-08-04 06:43:25.479074,2024-08-04 06:43:52.155884,0.5343137254901961,0.7748815165876777,0.8196932603686635,0.48660714285714285,0.592391304347826
31,31,0.606856684981685,"{'lgb_idx': 74, 'xgb_idx': 74, 'nn_idx': 38, 'lgb_weight': 0.8881098097008511, 'xgb_weight': 0.5795549451067284, 'nn_weight': 0.75822197684644}",2024-08-04 06:43:52.156629,2024-08-04 06:44:06.457563,0.5897435897435898,0.7725118483412322,0.8322652649769584,0.6160714285714286,0.5655737704918032
32,32,0.6121464975475168,"{'lgb_idx': 103, 'xgb_idx': 60, 'nn_idx': 32, 'lgb_weight': 0.852009971765364, 'xgb_weight': 0.4955717830053837, 'nn_weight': 0.6837232611925959}",2024-08-04 06:44:06.457992,2024-08-04 06:44:28.177866,0.5965665236051502,0.7772511848341233,0.8350734447004609,0.6205357142857143,0.5743801652892562
33,33,0.6256921992481203,"{'lgb_idx': 61, 'xgb_idx': 79, 'nn_idx': 46, 'lgb_weight': 0.6658937943562813, 'xgb_weight': 0.6660916539325377, 'nn_weight': 0.726558841133738}",2024-08-04 06:44:28.178479,2024-08-04 06:44:47.924500,0.6021052631578947,0.7760663507109005,0.8328341013824885,0.6383928571428571,0.5697211155378487
34,34,0.6069332891453525,"{'lgb_idx': 98, 'xgb_idx': 92, 'nn_idx': 57, 'lgb_weight': 0.9238539670793229, 'xgb_weight': 0.738771940789285, 'nn_weight': 0.8672229072459556}",2024-08-04 06:44:47.924973,2024-08-04 06:45:07.719173,0.5982532751091704,0.7819905213270142,0.8344830069124424,0.6116071428571429,0.5854700854700855
35,35,0.5945307709993868,"{'lgb_idx': 57, 'xgb_idx': 102, 'nn_idx': 7, 'lgb_weight': 0.5819965263589786, 'xgb_weight': 0.20135464037424666, 'nn_weight': 0.5866890249985096}",2024-08-04 06:45:07.719788,2024-08-04 06:45:27.141788,0.5793991416309012,0.7677725118483413,0.8209965437788018,0.6026785714285714,0.5578512396694215
36,36,0.6046720726627585,"{'lgb_idx': 85, 'xgb_idx': 67, 'nn_idx': 18, 'lgb_weight': 0.9462394959254786, 'xgb_weight': 0.4617754464122139, 'nn_weight': 0.678466942737616}",2024-08-04 06:45:27.142395,2024-08-04 06:45:47.178558,0.591792656587473,0.7760663507109005,0.8291186635944701,0.6116071428571429,0.5732217573221757
37,37,0.614869953416149,"{'lgb_idx': 71, 'xgb_idx': 113, 'nn_idx': 62, 'lgb_weight': 0.8974550315150784, 'xgb_weight': 0.5488249535759407, 'nn_weight': 0.5781994060135511}",2024-08-04 06:45:47.179028,2024-08-04 06:46:07.963160,0.6043478260869565,0.7843601895734598,0.8349222350230414,0.6205357142857143,0.5889830508474576
38,38,0.6197576252723311,"{'lgb_idx': 109, 'xgb_idx': 80, 'nn_idx': 49, 'lgb_weight': 0.8217876364522313, 'xgb_weight': 0.8407157262431465, 'nn_weight': 0.4817542737046091}",2024-08-04 06:46:07.963970,2024-08-04 06:46:28.392930,0.6100217864923747,0.7879146919431279,0.8284418202764978,0.625,0.5957446808510638
39,39,0.5213003187216207,"{'lgb_idx': 17, 'xgb_idx': 52, 'nn_idx': 39, 'lgb_weight': 0.7630557870785788, 'xgb_weight': 0.6483644074768254, 'nn_weight': 0.647127802834679}",2024-08-04 06:46:28.393502,2024-08-04 06:46:48.858973,0.5525672371638143,0.783175355450237,0.8299107142857144,0.5044642857142857,0.6108108108108108
40,40,0.6178198618242223,"{'lgb_idx': 79, 'xgb_idx': 103, 'nn_idx': 26, 'lgb_weight': 0.6890087165436105, 'xgb_weight': 0.7268079576050658, 'nn_weight': 0.722313149542889}",2024-08-04 06:46:48.859558,2024-08-04 06:47:08.015367,0.5961945031712473,0.773696682464455,0.830666762672811,0.6294642857142857,0.5662650602409639
41,41,0.5363074279007378,"{'lgb_idx': 63, 'xgb_idx': 75, 'nn_idx': 50, 'lgb_weight': 0.6839252024374658, 'xgb_weight': 0.6402282340948463, 'nn_weight': 0.7298007984581021}",2024-08-04 06:47:08.015905,2024-08-04 06:47:29.417205,0.5539906103286385,0.7748815165876777,0.8230774769585254,0.5267857142857143,0.5841584158415841
42,42,0.6046720726627585,"{'lgb_idx': 48, 'xgb_idx': 90, 'nn_idx': 46, 'lgb_weight': 0.6246745564436738, 'xgb_weight': 0.5797635245623067, 'nn_weight': 0.8084394531424258}",2024-08-04 06:47:29.417774,2024-08-04 06:47:49.433290,0.591792656587473,0.7760663507109005,0.8322508640552997,0.6116071428571429,0.5732217573221757
43,43,0.6081903195488723,"{'lgb_idx': 40, 'xgb_idx': 82, 'nn_idx': 35, 'lgb_weight': 0.12490977362314681, 'xgb_weight': 0.5148259302346369, 'nn_weight': 0.8645539858020123}",2024-08-04 06:47:49.433814,2024-08-04 06:48:08.308146,0.5852631578947368,0.7665876777251185,0.8255328341013826,0.6205357142857143,0.5537848605577689
44,44,0.596361409608091,"{'lgb_idx': 68, 'xgb_idx': 66, 'nn_idx': 52, 'lgb_weight': 0.8273226969081476, 'xgb_weight': 0.7848097809922453, 'nn_weight': 0.4932523652182252}",2024-08-04 06:48:08.308697,2024-08-04 06:48:29.838124,0.5929203539823009,0.7819905213270142,0.8329133064516129,0.5982142857142857,0.5877192982456141
45,45,0.5826037488429497,"{'lgb_idx': 60, 'xgb_idx': 40, 'nn_idx': 43, 'lgb_weight': 0.6858477874248676, 'xgb_weight': 0.6608680889735086, 'nn_weight': 0.7060191226644216}",2024-08-04 06:48:29.838509,2024-08-04 06:48:49.808235,0.5701943844492441,0.764218009478673,0.8259576612903226,0.5892857142857143,0.5523012552301255
46,46,0.6001005469755469,"{'lgb_idx': 87, 'xgb_idx': 110, 'nn_idx': 31, 'lgb_weight': 0.7487683542189996, 'xgb_weight': 0.37401010448410565, 'nn_weight': 0.5530171733541461}",2024-08-04 06:48:49.808801,2024-08-04 06:49:15.488772,0.6036036036036035,0.7914691943127962,0.8331077188940093,0.5982142857142857,0.6090909090909091
47,47,0.6182619552058111,"{'lgb_idx': 32, 'xgb_idx': 71, 'nn_idx': 47, 'lgb_weight': 0.91982016318943, 'xgb_weight': 0.7208910006068547, 'nn_weight': 0.7395815663304036}",2024-08-04 06:49:15.489216,2024-08-04 06:49:27.654301,0.597457627118644,0.7748815165876777,0.8313868087557604,0.6294642857142857,0.5685483870967742
48,48,0.6261367917420132,"{'lgb_idx': 53, 'xgb_idx': 99, 'nn_idx': 63, 'lgb_weight': 0.9577824455721196, 'xgb_weight': 0.4802354061367435, 'nn_weight': 0.6185690604141874}",2024-08-04 06:49:27.654852,2024-08-04 06:49:47.146695,0.6033755274261603,0.7772511848341233,0.828665034562212,0.6383928571428571,0.572
49,49,0.6183712121212122,"{'lgb_idx': 95, 'xgb_idx': 102, 'nn_idx': 65, 'lgb_weight': 0.9484900849426224, 'xgb_weight': 0.41918866140722066, 'nn_weight': 0.42286419025443595}",2024-08-04 06:49:47.147481,2024-08-04 06:50:21.946184,0.6060606060606061,0.7843601895734598,0.8299971198156681,0.625,0.5882352941176471
