,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_num_leaves,user_attrs_accuracy,user_attrs_f1,user_attrs_recall,user_attrs_roc,state
0,0,0.5612135399403382,2024-08-03 10:39:38.353368,2024-08-03 10:39:39.955202,0 days 00:00:01.601834,0.6949317425287425,7,0.7036870704616278,0.004040906745555493,2.0314106802502443e-08,0.02037360142505889,8,72,46,0.783175355450237,0.5754060324825986,0.5535714285714286,0.8331581221198157,COMPLETE
1,1,0.0,2024-08-03 10:39:39.955498,2024-08-03 10:39:43.523610,0 days 00:00:03.568112,0.9818041274958182,7,0.7772143715633244,0.10455101359212712,5.345579577343195e-07,0.0005460609909652528,7,35,100,0.7345971563981043,0.0,0.0,0.81328125,COMPLETE
2,2,0.5795576298701298,2024-08-03 10:39:43.523954,2024-08-03 10:39:44.966090,0 days 00:00:01.442136,0.8358140165084266,1,0.9209659220052838,4.466958237409509e-08,8.191605332261105,0.09148560383157667,7,61,43,0.7843601895734598,0.5863636363636363,0.5758928571428571,0.8297631048387097,COMPLETE
3,3,0.5949931318681319,2024-08-03 10:39:44.966425,2024-08-03 10:39:45.671285,0 days 00:00:00.704860,0.7117388994925192,3,0.6487662268538161,1.6333533037498407,4.3407065687110257e-07,0.07652680929074242,4,118,76,0.7784360189573459,0.589010989010989,0.5982142857142857,0.8343389976958525,COMPLETE
4,4,0.4959141588107324,2024-08-03 10:39:45.671609,2024-08-03 10:39:46.257078,0 days 00:00:00.585469,0.4613372899707583,5,0.863340645329179,8.919592496414484,1.3598114966314386e-06,0.013166210953994839,6,146,149,0.7843601895734598,0.5380710659898478,0.4732142857142857,0.8269657258064516,COMPLETE
5,5,0.5640567226890757,2024-08-03 10:39:46.257437,2024-08-03 10:39:47.820979,0 days 00:00:01.563542,0.8548307218507556,4,0.9118516791949014,0.004632587086764411,0.006699239980606147,0.0186271236507306,10,118,50,0.7902843601895735,0.5835294117647059,0.5535714285714286,0.8322940668202765,COMPLETE
6,6,0.0,2024-08-03 10:39:47.821296,2024-08-03 10:39:49.253675,0 days 00:00:01.432379,0.7842459202921772,3,0.8961379363128323,0.7245851071923148,0.21342669784353688,0.002368353741162903,8,72,52,0.7345971563981043,0.0,0.0,0.8245139688940092,COMPLETE
7,7,0.0,2024-08-03 10:39:49.254003,2024-08-03 10:39:50.004958,0 days 00:00:00.750955,0.7974632122632199,4,0.4791035671925377,0.2888342155458803,7.381615966030624,0.0004152366207070099,4,97,117,0.7345971563981043,0.0,0.0,0.827030529953917,COMPLETE
8,8,0.32036378871937127,2024-08-03 10:39:50.005384,2024-08-03 10:39:51.227035,0 days 00:00:01.221651,0.567828065100151,1,0.7186414328622763,1.0873570049550445e-08,3.0361450053136787,0.015505979380955005,8,65,122,0.7808056872037915,0.40129449838187703,0.2767857142857143,0.8339429723502304,COMPLETE
9,9,0.0,2024-08-03 10:39:51.227365,2024-08-03 10:39:53.468409,0 days 00:00:02.241044,0.9368860455038602,3,0.5941942541891609,0.6841574096935096,1.6270438236222147e-08,0.00030216181963452286,9,62,43,0.7345971563981043,0.0,0.0,0.8255184331797235,COMPLETE
10,10,0.5803571428571429,2024-08-03 10:39:53.468883,2024-08-03 10:39:54.244048,0 days 00:00:00.775165,0.6226485365003475,2,0.5481376550290641,4.271814173450033e-06,2.6914419487817865e-05,0.07935978259901505,3,150,80,0.7772511848341233,0.5803571428571429,0.5803571428571429,0.8395377304147466,COMPLETE
11,11,0.6069332891453525,2024-08-03 10:39:54.244578,2024-08-03 10:39:54.928436,0 days 00:00:00.683858,0.6496925984873346,2,0.5566870801468221,5.379875859019258e-06,4.9555395941167645e-05,0.07138618996317876,3,149,76,0.7819905213270142,0.5982532751091704,0.6116071428571429,0.8371111751152074,COMPLETE
12,12,0.017915883458646614,2024-08-03 10:39:54.928769,2024-08-03 10:39:55.984437,0 days 00:00:01.055668,0.6696033254864372,2,0.4094113544696226,2.2413515293385402e-05,0.0003130762653474517,0.0029948940956098977,5,122,75,0.7369668246445498,0.02631578947368421,0.013392857142857142,0.8296911002304147,COMPLETE
13,13,0.6034147869674185,2024-08-03 10:39:55.984766,2024-08-03 10:39:57.236490,0 days 00:00:01.251724,0.5147829564094119,5,0.6053972174561536,8.633892568535205e-07,1.0099060329800496e-05,0.0381928141506165,12,123,22,0.7819905213270142,0.5964912280701754,0.6071428571428571,0.8348142281105991,COMPLETE
14,14,0.5923676552106429,2024-08-03 10:39:57.236987,2024-08-03 10:39:58.378802,0 days 00:00:01.141815,0.49732758715551945,6,0.5773543948136197,2.1497840250620262e-06,3.9660164131132855e-05,0.03476413776996599,12,133,22,0.7808056872037915,0.5898004434589801,0.59375,0.8363119239631336,COMPLETE
15,15,0.3903032496782497,2024-08-03 10:39:58.379204,2024-08-03 10:39:59.440970,0 days 00:00:01.061766,0.4048542356141374,5,0.49667020967172193,3.784992584476022e-07,0.008907571150146768,0.007710067343377813,11,100,20,0.7902843601895735,0.46846846846846846,0.3482142857142857,0.8293778801843319,COMPLETE
16,16,0.0,2024-08-03 10:39:59.441293,2024-08-03 10:40:00.866915,0 days 00:00:01.425622,0.5641508718646395,5,0.638323141716135,6.960262892379206e-05,7.795002316224185e-06,0.0011210589323706382,12,133,104,0.7345971563981043,0.0,0.0,0.8293382776497695,COMPLETE
17,17,0.0,2024-08-03 10:40:00.867399,2024-08-03 10:40:02.244616,0 days 00:00:01.377217,0.5535764247304341,6,0.7802407236775883,3.4312313962690266e-07,0.0008262808095018608,0.00010748959833193342,10,101,64,0.7345971563981043,0.0,0.0,0.8287262384792627,COMPLETE
18,18,0.3372591820639928,2024-08-03 10:40:02.244944,2024-08-03 10:40:03.027817,0 days 00:00:00.782873,0.6370468064863049,2,0.4263595551790358,0.0008163733804791434,0.00028646275082277995,0.0062533508863175016,3,137,95,0.7808056872037915,0.416403785488959,0.29464285714285715,0.8292626728110599,COMPLETE
19,19,0.5772122317236754,2024-08-03 10:40:03.028166,2024-08-03 10:40:04.768384,0 days 00:00:01.740218,0.4672239850677525,6,0.5384578545160427,5.191192030465766e-05,5.605618605098872e-06,0.050048431437060004,6,32,32,0.7962085308056872,0.596244131455399,0.5669642857142857,0.8357862903225808,COMPLETE
20,20,0.5945410401002507,2024-08-03 10:40:04.768807,2024-08-03 10:40:06.390998,0 days 00:00:01.622191,0.7316377541201897,4,0.6336942970764624,3.034647990493371e-07,0.004423499346444885,0.03614548718150599,10,110,64,0.7772511848341233,0.587719298245614,0.5982142857142857,0.836376728110599,COMPLETE
21,21,0.6183712121212122,2024-08-03 10:40:06.391381,2024-08-03 10:40:07.368293,0 days 00:00:00.976912,0.6066340850514593,3,0.6415228143077452,3.4156115164398195e-06,1.5482217315654815e-07,0.056480484306229914,5,124,68,0.7843601895734598,0.6060606060606061,0.625,0.8374063940092167,COMPLETE
22,22,0.5919109513274335,2024-08-03 10:40:07.368654,2024-08-03 10:40:08.295647,0 days 00:00:00.926993,0.6122671153686259,3,0.9825055099412502,4.652398636772782e-06,8.109323890506474e-08,0.042563042157106074,4,140,66,0.7796208530805687,0.5884955752212389,0.59375,0.8351958525345622,COMPLETE
23,23,0.4249766036017807,2024-08-03 10:40:08.296066,2024-08-03 10:40:09.375449,0 days 00:00:01.079383,0.5382454243515152,2,0.6786758737663099,1.3257610587976493e-06,9.765750339124254e-08,0.00873848061931815,5,124,88,0.7879146919431279,0.4929178470254958,0.38839285714285715,0.8313220046082949,COMPLETE
24,24,0.6144111210102263,2024-08-03 10:40:09.375861,2024-08-03 10:40:10.031964,0 days 00:00:00.656103,0.5088776077436328,4,0.50663902147496,1.4956324664851034e-05,5.874199439553447e-05,0.034035415529439235,3,91,116,0.783175355450237,0.6030368763557484,0.6205357142857143,0.8373055875576036,COMPLETE
25,25,0.6012754394995248,2024-08-03 10:40:10.032344,2024-08-03 10:40:10.673974,0 days 00:00:00.641630,0.5893583960040805,4,0.4705625068547562,0.00031883982121513513,9.506460831806767e-05,0.02507131963753335,3,107,134,0.7855450236966824,0.5986696230598669,0.6026785714285714,0.8342021889400921,COMPLETE
26,26,0.5916135923895518,2024-08-03 10:40:10.674392,2024-08-03 10:40:11.648566,0 days 00:00:00.974174,0.4050307588551051,1,0.5328735313217796,2.4301229924647104e-05,0.06911107143788874,0.09400079102407108,5,89,118,0.7879146919431279,0.5959367945823929,0.5892857142857143,0.8382272465437788,COMPLETE
27,27,0.0,2024-08-03 10:40:11.648956,2024-08-03 10:40:13.042290,0 days 00:00:01.393334,0.6528148823479312,3,0.4500516304842927,6.495088032843689e-08,2.0637302148722453e-06,0.0049043633874417064,4,84,89,0.7345971563981043,0.0,0.0,0.8324884792626729,COMPLETE
28,28,0.5865599433606041,2024-08-03 10:40:13.042659,2024-08-03 10:40:14.151930,0 days 00:00:01.109271,0.47432604529715616,2,0.757310573918032,6.679153826935182e-06,8.252248485144097e-05,0.027479876001951016,3,45,109,0.7748815165876777,0.5814977973568283,0.5892857142857143,0.8322976670506911,COMPLETE
29,29,0.6051204004329005,2024-08-03 10:40:14.152369,2024-08-03 10:40:15.149742,0 days 00:00:00.997373,0.7535595381094746,3,0.5000157289415792,0.0032238717303426636,6.14233064103336e-08,0.05361741164562594,5,84,139,0.7772511848341233,0.593073593073593,0.6116071428571429,0.8334245391705069,COMPLETE
30,30,0.5254377177700348,2024-08-03 10:40:15.150109,2024-08-03 10:40:16.241523,0 days 00:00:01.091414,0.6883713443384514,4,0.702452253142347,0.00016111911735700117,0.0013397226908226179,0.011088439502513156,6,143,94,0.7843601895734598,0.5560975609756097,0.5089285714285714,0.8308719758064517,COMPLETE
31,31,0.6209543608215818,2024-08-03 10:40:16.241845,2024-08-03 10:40:17.352962,0 days 00:00:01.111117,0.7392965358297365,3,0.5240593074779545,0.015411224392182642,4.7053062492399004e-08,0.05679665191848335,5,79,137,0.7819905213270142,0.6051502145922746,0.6294642857142857,0.8380256336405529,COMPLETE
32,32,0.6038736263736264,2024-08-03 10:40:17.353370,2024-08-03 10:40:18.179058,0 days 00:00:00.825688,0.689214479095061,2,0.5613704244137809,0.031879103929665406,1.1008008568796176e-08,0.05318229746700576,4,77,130,0.783175355450237,0.5978021978021978,0.6071428571428571,0.8376296082949309,COMPLETE
33,33,0.5781678289261528,2024-08-03 10:40:18.179457,2024-08-03 10:40:20.144479,0 days 00:00:01.965022,0.8670973425621324,3,0.5201939733131696,1.4014444636532922e-05,1.844884783008806e-07,0.023643704607972042,7,49,142,0.7808056872037915,0.582392776523702,0.5758928571428571,0.8311779953917051,COMPLETE
34,34,0.63463133640553,2024-08-03 10:40:20.144930,2024-08-03 10:40:20.785441,0 days 00:00:00.640511,0.599255799374885,1,0.6036466300251013,0.024569323506513262,4.380309070976996e-07,0.06487443701061095,3,52,126,0.7902843601895735,0.6193548387096774,0.6428571428571429,0.8394801267281106,COMPLETE
35,35,0.5635772971160296,2024-08-03 10:40:20.785815,2024-08-03 10:40:22.025663,0 days 00:00:01.239848,0.6106597847881757,1,0.6028877785187172,0.04286210335524195,5.51970404953895e-07,0.09549902905274536,6,50,127,0.7890995260663507,0.5821596244131456,0.5535714285714286,0.8324560771889401,COMPLETE
36,36,0.5871316712350855,2024-08-03 10:40:22.026032,2024-08-03 10:40:22.908441,0 days 00:00:00.882409,0.5154934899290867,4,0.6702714460053777,0.01059999015151845,1.4128938544950827e-06,0.019750599604131242,4,23,150,0.7855450236966824,0.5914221218961625,0.5848214285714286,0.8332733294930876,COMPLETE
37,37,0.5584484308597581,2024-08-03 10:40:22.908768,2024-08-03 10:40:24.453014,0 days 00:00:01.544246,0.7300758169222438,7,0.6220284200498333,0.0006797196652820008,3.451538083057882e-07,0.06329482703135023,7,56,113,0.7760663507109005,0.5675057208237987,0.5535714285714286,0.829133064516129,COMPLETE
38,38,0.6008118678887484,2024-08-03 10:40:24.453367,2024-08-03 10:40:26.056371,0 days 00:00:01.603004,0.8111763528196295,1,0.43767720391546266,0.06497897286717423,2.353200990311771e-08,0.03142076768187637,5,92,143,0.7843601895734598,0.5973451327433628,0.6026785714285714,0.8379248271889401,COMPLETE
39,39,0.5604657421479231,2024-08-03 10:40:26.056816,2024-08-03 10:40:26.878529,0 days 00:00:00.821713,0.585766130623188,3,0.8223535819465462,0.0023074018543085455,2.659886396142679e-06,0.01264258314703417,4,76,125,0.7902843601895735,0.5815602836879433,0.5491071428571429,0.8329349078341013,COMPLETE
40,40,0.5804947407045009,2024-08-03 10:40:26.878863,2024-08-03 10:40:27.447800,0 days 00:00:00.568937,0.43826936741972927,4,0.7377042490514032,8.46558955640775,3.653453745987153e-08,0.019661319974723753,3,67,102,0.7867298578199052,0.5890410958904109,0.5758928571428571,0.8280817972350232,COMPLETE
41,41,0.5936427791640674,2024-08-03 10:40:27.448202,2024-08-03 10:40:28.047451,0 days 00:00:00.599249,0.6632022461600142,2,0.5731227462632462,0.016744623447079457,5.077026646082572e-07,0.0635928674838583,3,109,72,0.7748815165876777,0.5851528384279475,0.5982142857142857,0.8372191820276497,COMPLETE
42,42,0.5998908511642542,2024-08-03 10:40:28.047872,2024-08-03 10:40:28.677555,0 days 00:00:00.629683,0.768238220039956,1,0.6673434273107315,0.1942501852605131,1.88797092822895e-05,0.07090821026384757,3,129,56,0.7819905213270142,0.5947136563876652,0.6026785714285714,0.8369239631336406,COMPLETE
43,43,0.0,2024-08-03 10:40:28.677925,2024-08-03 10:40:29.538523,0 days 00:00:00.860598,0.7154640581405394,3,0.5141147281810646,0.0001915961472903856,1.8696996000068848e-07,0.0017121010723277024,4,42,135,0.7345971563981043,0.0,0.0,0.8312536002304146,COMPLETE
44,44,0.5897471236816875,2024-08-03 10:40:29.538872,2024-08-03 10:40:30.324757,0 days 00:00:00.785885,0.6012899131420485,2,0.4715647895937943,1.119412816546362e-05,7.569855508433796e-07,0.09801902372291252,5,148,55,0.783175355450237,0.5906040268456376,0.5892857142857143,0.8359230990783411,COMPLETE
45,45,0.6012754394995248,2024-08-03 10:40:30.325127,2024-08-03 10:40:31.356119,0 days 00:00:01.030992,0.6394377617351974,1,0.5854260498249348,8.268866730205035e-08,4.054513837358404e-06,0.04305703462116424,6,115,83,0.7855450236966824,0.5986696230598669,0.6026785714285714,0.8365783410138249,COMPLETE
46,46,0.599433379120879,2024-08-03 10:40:31.356476,2024-08-03 10:40:32.165883,0 days 00:00:00.809407,0.5274521543798125,3,0.5464903757598006,0.008489729293567972,5.816957953941504e-05,0.0673155541076467,3,72,121,0.7808056872037915,0.5934065934065934,0.6026785714285714,0.8387672811059909,COMPLETE
47,47,0.5732303732303732,2024-08-03 10:40:32.166268,2024-08-03 10:40:33.261605,0 days 00:00:01.095337,0.8884237627487388,2,0.6189740675744005,4.97185075422178e-05,0.00015256978489276647,0.01696671373600739,4,60,71,0.7772511848341233,0.5765765765765765,0.5714285714285714,0.8329925115207374,COMPLETE
48,48,0.5874604930467763,2024-08-03 10:40:33.261947,2024-08-03 10:40:34.815065,0 days 00:00:01.553118,0.6808247257729937,4,0.5578220170444774,3.035612852236523e-06,1.5361987753193315e-05,0.03392305563718325,8,94,111,0.7772511848341233,0.584070796460177,0.5892857142857143,0.8379680299539172,COMPLETE
