,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_layer1,params_dropout_layer2,params_learning_rate,params_units_layer1,params_units_layer2,user_attrs_accuracy,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_roc,state
0,0,0.6147606382978723,2024-08-03 15:06:13.650421,2024-08-03 15:06:27.641663,0 days 00:00:13.991242,34,0.2260590036198749,0.44508389924972747,0.005772647126567553,342,188,0.7748815165876777,0.5957446808510639,0.5691056910569106,0.625,0.837982430875576,COMPLETE
1,1,0.6217582127787824,2024-08-03 15:06:27.641965,2024-08-03 15:06:38.524237,0 days 00:00:10.882272,105,0.20926356712255562,0.2626124206933738,0.00012192255995367303,439,219,0.7748815165876777,0.5991561181434599,0.568,0.6339285714285714,0.8361679147465438,COMPLETE
2,2,0.6195692290486132,2024-08-03 15:06:38.524570,2024-08-03 15:06:49.109651,0 days 00:00:10.585081,114,0.3623913282937009,0.3698306918999039,0.0017013528628214572,90,143,0.768957345971564,0.592901878914405,0.5568627450980392,0.6339285714285714,0.8404017857142856,COMPLETE
3,3,0.5918695887445887,2024-08-03 15:06:49.109938,2024-08-03 15:06:59.965184,0 days 00:00:10.855246,71,0.4647280874989091,0.2989832061302752,0.006990751714691394,332,91,0.7701421800947867,0.5800865800865801,0.5630252100840336,0.5982142857142857,0.8337989631336407,COMPLETE
4,4,0.5873938056746949,2024-08-03 15:06:59.965494,2024-08-03 15:07:10.941248,0 days 00:00:10.975754,104,0.2662501686588229,0.3034964043816353,0.0009074536081770654,391,367,0.7950236966824644,0.6004618937644343,0.6220095693779905,0.5803571428571429,0.8358870967741936,COMPLETE
5,5,0.5919109513274335,2024-08-03 15:07:10.941635,2024-08-03 15:07:22.153764,0 days 00:00:11.212129,78,0.28207134243948234,0.27001143844855385,0.0019944600950526905,74,371,0.7796208530805687,0.5884955752212389,0.5833333333333334,0.59375,0.8398257488479262,COMPLETE
6,6,0.5504101890756302,2024-08-03 15:07:22.154093,2024-08-03 15:07:33.664182,0 days 00:00:11.510089,93,0.32602909933983476,0.46365093494180176,0.0013608372046648336,193,418,0.783175355450237,0.5694117647058824,0.6019900497512438,0.5401785714285714,0.8359230990783411,COMPLETE
7,7,0.5471808862433862,2024-08-03 15:07:33.664522,2024-08-03 15:07:48.803916,0 days 00:00:15.139394,41,0.41937368571368294,0.25077283667581585,0.006527426849349821,366,223,0.7748815165876777,0.5601851851851851,0.5817307692307693,0.5401785714285714,0.8366071428571428,COMPLETE
8,8,0.5809665127492645,2024-08-03 15:07:48.804243,2024-08-03 15:08:01.058922,0 days 00:00:12.254679,67,0.2922248629495231,0.4573590003846107,0.0008356805419764786,167,297,0.7879146919431279,0.5903890160183066,0.6056338028169014,0.5758928571428571,0.8388536866359447,COMPLETE
9,9,0.6262777093596059,2024-08-03 15:08:01.059242,2024-08-03 15:08:13.079202,0 days 00:00:12.019960,42,0.4097396538713892,0.27737093184571276,0.0010777955424722985,44,217,0.7867298578199052,0.6120689655172414,0.5916666666666667,0.6339285714285714,0.8452116935483871,COMPLETE
10,10,0.5799047486477887,2024-08-03 15:08:13.079554,2024-08-03 15:08:25.301584,0 days 00:00:12.222030,52,0.49573282649302,0.2146734996957755,0.0003073862802232883,511,512,0.7760663507109005,0.5790645879732739,0.5777777777777777,0.5803571428571429,0.8373055875576036,COMPLETE
11,11,0.6408928571428572,2024-08-03 15:08:25.301982,2024-08-03 15:08:36.794212,0 days 00:00:11.492230,122,0.39154832528004224,0.3670371749300003,0.00014333919862821165,481,266,0.7701421800947867,0.6040816326530613,0.556390977443609,0.6607142857142857,0.8381192396313365,COMPLETE
12,12,0.6642036631846414,2024-08-03 15:08:36.794541,2024-08-03 15:08:49.054516,0 days 00:00:12.259975,128,0.39712564212171675,0.3691381879052347,0.0003393849996363869,244,40,0.7677725118483413,0.6126482213438734,0.549645390070922,0.6919642857142857,0.8438292050691244,COMPLETE
13,13,0.6208771008403361,2024-08-03 15:08:49.054849,2024-08-03 15:09:03.884169,0 days 00:00:14.829320,124,0.39129668539311724,0.3834032763097069,0.0001001876602088535,232,45,0.7725118483412322,0.5966386554621849,0.5634920634920635,0.6339285714285714,0.838112039170507,COMPLETE
14,14,0.6258170122887865,2024-08-03 15:09:03.884497,2024-08-03 15:09:15.659048,0 days 00:00:11.774551,128,0.44498482515687116,0.4030222798012238,0.00028806250048457415,281,43,0.7855450236966824,0.6107526881720431,0.5892116182572614,0.6339285714285714,0.8396673387096774,COMPLETE
15,15,0.6051204004329005,2024-08-03 15:09:15.659357,2024-08-03 15:09:27.602710,0 days 00:00:11.943353,95,0.35605557458353987,0.3349113979992322,0.0002600093750004265,455,298,0.7772511848341233,0.593073593073593,0.5756302521008403,0.6116071428571429,0.8377736175115208,COMPLETE
16,16,0.6565580726092091,2024-08-03 15:09:27.603057,2024-08-03 15:09:38.930209,0 days 00:00:11.327152,116,0.3203905156788213,0.41212100591344525,0.00047416051415558074,272,123,0.7843601895734598,0.6239669421487604,0.5807692307692308,0.6741071428571429,0.8425619239631337,COMPLETE
17,17,0.6650936234817814,2024-08-03 15:09:38.930571,2024-08-03 15:09:50.125618,0 days 00:00:11.195047,110,0.3220653919629294,0.40973355686475926,0.0005561692919684343,287,121,0.7796208530805687,0.6234817813765182,0.5703703703703704,0.6875,0.8406898041474654,COMPLETE
18,18,0.6551559356136821,2024-08-03 15:09:50.125954,2024-08-03 15:10:02.016362,0 days 00:00:11.890408,93,0.33681340153149086,0.48809780476030334,0.0005354298916087051,149,96,0.7713270142180095,0.6116700201207244,0.5567765567765568,0.6785714285714286,0.8409346198156681,COMPLETE
19,19,0.6382908950617283,2024-08-03 15:10:02.016739,2024-08-03 15:10:12.594216,0 days 00:00:10.577477,108,0.2529390054484213,0.3376790328336673,0.0028994723638002345,251,33,0.7725118483412322,0.6049382716049382,0.5610687022900763,0.65625,0.8345118087557604,COMPLETE
20,20,0.6448486954662105,2024-08-03 15:10:12.594614,2024-08-03 15:10:24.366480,0 days 00:00:11.771866,84,0.37430186075084904,0.42122553747801533,0.0005247105230394434,311,160,0.7618483412322274,0.5988023952095809,0.5415162454873647,0.6696428571428571,0.8394081221198157,COMPLETE
21,21,0.6512744815668203,2024-08-03 15:10:24.366826,2024-08-03 15:10:35.824428,0 days 00:00:11.457602,120,0.3132049997684314,0.41641190877019346,0.0005030140184252871,208,108,0.7701421800947867,0.6088709677419356,0.5551470588235294,0.6741071428571429,0.8384720622119815,COMPLETE
22,22,0.6086224758890899,2024-08-03 15:10:35.824743,2024-08-03 15:10:47.375941,0 days 00:00:11.551198,114,0.3087924583305443,0.4300572899112404,0.00017686613868427478,285,132,0.7677725118483413,0.5864978902953587,0.556,0.6205357142857143,0.8384576612903225,COMPLETE
23,23,0.5976279317697228,2024-08-03 15:10:47.376282,2024-08-03 15:11:01.347704,0 days 00:00:13.971422,113,0.35079792358372375,0.3933859704101707,0.000359253138737019,138,81,0.7665876777251185,0.579957356076759,0.5551020408163265,0.6071428571428571,0.8371975806451613,COMPLETE
24,24,0.6382908950617283,2024-08-03 15:11:01.348049,2024-08-03 15:11:13.293499,0 days 00:00:11.945450,99,0.3314549143406727,0.353119054452574,0.00020050854282709646,249,186,0.7725118483412322,0.6049382716049382,0.5610687022900763,0.65625,0.8393073156682028,COMPLETE
25,25,0.640491813929314,2024-08-03 15:11:13.293844,2024-08-03 15:11:24.182811,0 days 00:00:10.888967,118,0.2978681799470838,0.48738915595079874,0.0006457002008673991,216,64,0.7784360189573459,0.6112266112266113,0.5719844357976653,0.65625,0.8430731566820278,COMPLETE
26,26,0.6182619552058111,2024-08-03 15:11:24.183168,2024-08-03 15:11:36.075558,0 days 00:00:11.892390,126,0.43890588305230926,0.32208281792858895,0.0003854962279797133,297,127,0.7748815165876777,0.597457627118644,0.5685483870967742,0.6294642857142857,0.8403225806451614,COMPLETE
27,27,0.628735803945009,2024-08-03 15:11:36.075896,2024-08-03 15:11:47.082325,0 days 00:00:11.006429,109,0.3768930466516185,0.3806266111007134,0.0007458864065874462,398,83,0.7748815165876777,0.602510460251046,0.5669291338582677,0.6428571428571429,0.8393361175115208,COMPLETE
28,28,0.6456585049664038,2024-08-03 15:11:47.082693,2024-08-03 15:11:59.003924,0 days 00:00:11.921231,86,0.2450099570317359,0.40514269237535205,0.00022282824297648166,176,156,0.773696682464455,0.6094069529652353,0.5622641509433962,0.6651785714285714,0.8378528225806452,COMPLETE
29,29,0.5728946018062397,2024-08-03 15:11:59.004338,2024-08-03 15:12:11.168234,0 days 00:00:12.163896,100,0.2778011537886318,0.44447939151832827,0.0038836742407224356,339,182,0.7855450236966824,0.5839080459770114,0.6018957345971564,0.5669642857142857,0.8401497695852534,COMPLETE
30,30,0.6043344870988042,2024-08-03 15:12:11.168607,2024-08-03 15:12:22.064266,0 days 00:00:10.895659,118,0.41377185156851237,0.44187187680356377,0.00103131941054216,260,256,0.7843601895734598,0.5991189427312775,0.591304347826087,0.6071428571428571,0.8386520737327189,COMPLETE
31,31,0.6560209235209236,2024-08-03 15:12:22.064648,2024-08-03 15:12:34.724939,0 days 00:00:12.660291,90,0.33181801646062925,0.47492661104807604,0.00047362772620323243,118,117,0.773696682464455,0.6141414141414141,0.5608856088560885,0.6785714285714286,0.8408842165898618,COMPLETE
32,32,0.6339942226890756,2024-08-03 15:12:34.725290,2024-08-03 15:12:46.975453,0 days 00:00:12.250163,104,0.33837244248767606,0.4568142552178532,0.00039988285308171514,119,120,0.7796208530805687,0.6092436974789915,0.5753968253968254,0.6473214285714286,0.8401137672811061,COMPLETE
33,33,0.626985773562537,2024-08-03 15:12:46.975812,2024-08-03 15:12:58.647623,0 days 00:00:11.671811,113,0.21317324006601515,0.49769049259258463,0.000606808777218353,104,64,0.7701421800947867,0.5975103734439834,0.5581395348837209,0.6428571428571429,0.8403729838709676,COMPLETE
34,34,0.6417593676814989,2024-08-03 15:12:58.647950,2024-08-03 15:13:09.548047,0 days 00:00:10.900097,128,0.3203325390235043,0.46788510799491895,0.00037941107654963796,326,164,0.7725118483412322,0.6065573770491803,0.5606060606060606,0.6607142857142857,0.8402217741935483,COMPLETE
35,35,0.6205008221168553,2024-08-03 15:13:09.548400,2024-08-03 15:13:21.661921,0 days 00:00:12.113521,63,0.3695482799686601,0.4322023745791056,0.0004655253818904546,373,230,0.7808056872037915,0.6038543897216274,0.5802469135802469,0.6294642857142857,0.8426051267281107,COMPLETE
36,36,0.5949931318681319,2024-08-03 15:13:21.662272,2024-08-03 15:13:32.997650,0 days 00:00:11.335378,75,0.3488131746085336,0.3545597833424143,0.0007236270601895826,226,108,0.7784360189573459,0.589010989010989,0.5800865800865801,0.5982142857142857,0.8380184331797236,COMPLETE
37,37,0.6400479771784232,2024-08-03 15:13:32.998013,2024-08-03 15:13:44.404149,0 days 00:00:11.406136,87,0.2987236836334569,0.36755192903639244,0.0014506419311615508,37,72,0.7772511848341233,0.6099585062240663,0.5697674418604651,0.65625,0.8403441820276497,COMPLETE
38,38,0.6025031191515908,2024-08-03 15:13:44.404538,2024-08-03 15:13:58.162183,0 days 00:00:13.757645,106,0.3953108545612126,0.40952353317588885,0.00015601979514488415,74,135,0.7796208530805687,0.5938864628820961,0.5811965811965812,0.6071428571428571,0.8444988479262673,COMPLETE
39,39,0.6226467917675544,2024-08-03 15:13:58.162526,2024-08-03 15:14:10.242640,0 days 00:00:12.080114,99,0.2694022326541435,0.47786010476637886,0.00023730456533216262,195,202,0.7772511848341233,0.6016949152542374,0.5725806451612904,0.6339285714285714,0.835879896313364,COMPLETE
40,40,0.5755287992190042,2024-08-03 15:14:10.243004,2024-08-03 15:14:22.018250,0 days 00:00:11.775246,117,0.2482820067525325,0.3902585951092342,0.008571032288734126,422,346,0.783175355450237,0.5831435079726651,0.5953488372093023,0.5714285714285714,0.8359158986175115,COMPLETE
41,41,0.6543250620800467,2024-08-03 15:14:22.018645,2024-08-03 15:14:34.830084,0 days 00:00:12.811439,91,0.3412735004986742,0.4980633809900979,0.0004968701275205891,158,114,0.7784360189573459,0.6175869120654397,0.569811320754717,0.6741071428571429,0.8382056451612903,COMPLETE
42,42,0.6038736263736264,2024-08-03 15:14:34.830453,2024-08-03 15:14:47.313911,0 days 00:00:12.483458,80,0.32656573773841063,0.4782829354965242,0.0009285147837015435,141,94,0.783175355450237,0.5978021978021978,0.5887445887445888,0.6071428571428571,0.8416978686635945,COMPLETE
43,43,0.6069046996413628,2024-08-03 15:14:47.314257,2024-08-03 15:14:59.901084,0 days 00:00:12.586827,93,0.30757271919256396,0.4533303604860691,0.0003131568340265595,66,96,0.7630331753554502,0.5815899581589958,0.547244094488189,0.6205357142857143,0.8392497119815667,COMPLETE
44,44,0.6727740330321852,2024-08-03 15:14:59.901468,2024-08-03 15:15:12.372737,0 days 00:00:12.471269,101,0.365116591113981,0.47278508256071694,0.0006081456623602602,313,48,0.7725118483412322,0.6205533596837944,0.5567375886524822,0.7008928571428571,0.8390769009216589,COMPLETE
45,45,0.6642036631846414,2024-08-03 15:15:12.373109,2024-08-03 15:15:23.333272,0 days 00:00:10.960163,112,0.36203885224052484,0.4257275393230748,0.0012006270506237811,354,54,0.7677725118483413,0.6126482213438734,0.549645390070922,0.6919642857142857,0.8381336405529953,COMPLETE
46,46,0.6462006873879259,2024-08-03 15:15:23.333657,2024-08-03 15:15:33.944466,0 days 00:00:10.610809,122,0.3622213517711218,0.4229951215965251,0.0017365891109107857,357,43,0.7843601895734598,0.6192468619246861,0.5826771653543307,0.6607142857142857,0.8421226958525345,COMPLETE
47,47,0.6374682456664674,2024-08-03 15:15:33.944811,2024-08-03 15:15:44.778110,0 days 00:00:10.833299,109,0.40124118204424647,0.37694579818885415,0.0012024054340825955,312,62,0.7796208530805687,0.610878661087866,0.5748031496062992,0.6517857142857143,0.8412514400921659,COMPLETE
48,48,0.6029579556111284,2024-08-03 15:15:44.778461,2024-08-03 15:15:55.592362,0 days 00:00:10.813901,112,0.3779130967825407,0.39777653974699373,0.0023270856909216055,269,52,0.7808056872037915,0.5951859956236324,0.5836909871244635,0.6071428571428571,0.8374639976958524,COMPLETE
